repo	branch	pr	mergedAt	backup	delete	notes
ai-cost-tracker	claude/advanced-analytics-intelligence-0VO9m	PR#22	2026-02-28T08:36:34Z	skipped	skipped	branch_missing
ai-cost-tracker	claude/phase-3-implementation-hLBRj	PR#14	2026-02-25T23:05:32Z	created	deleted	ok
ai-cost-tracker	codex/review-pr-#17-and-document-results	PR#19	2026-02-27T01:08:50Z	skipped	skipped	branch_missing
ai-cost-tracker	claude/fix-security-issues-lVxbV	PR#20	2026-02-27T18:32:48Z	created	deleted	ok
ai-cost-tracker	main	PR#9	2026-02-25T20:14:25Z	created	deleted	ok
ai-cost-tracker	codex/establish-pr-review-process-for-codex	PR#13	2026-02-25T22:52:52Z	created	deleted	ok
ai-cost-tracker	claude/export-endpoint-streaming-4OBH1	PR#12	2026-02-25T22:47:33Z	created	deleted	ok
ai-cost-tracker	dependabot/github_actions/actions/setup-python-6	PR#1	2026-02-25T20:07:54Z	skipped	skipped	branch_missing
ai-cost-tracker	codex/conduct-project-handover-for-next-steps	PR#8	2026-02-25T20:16:08Z	created	deleted	ok
ai-cost-tracker	claude/review-changes-mm2o0cx98svo47hd-K9F90	PR#17	2026-02-26T10:32:47Z	created	deleted	ok
ai-cost-tracker	dependabot/github_actions/actions/setup-node-6	PR#2	2026-02-25T20:08:10Z	skipped	skipped	branch_missing
ai-cost-tracker	codex/run-code-check-and-review	PR#18	2026-02-26T10:48:28Z	created	deleted	ok
ai-cost-tracker	codex/verify-pr-#20-for-issue-remediation	PR#21	2026-02-27T22:47:45Z	skipped	skipped	branch_missing
ai-cost-tracker	claude/multi-service-cost-tracker-WQTIj	PR#10	2026-02-25T20:42:50Z	created	deleted	ok
ai-cost-tracker	dependabot/github_actions/actions/stale-10	PR#5	2026-02-25T20:08:22Z	skipped	skipped	branch_missing
ai-cost-tracker	codex/review-ci/cd-pipeline-setup-pr	PR#15	2026-02-25T23:10:34Z	created	deleted	ok
ai-cost-tracker	codex/review-session-and-check-handover-process	PR#11	2026-02-25T20:50:53Z	created	deleted	ok
ai-cost-tracker	dependabot/pip/backend/pip-a7a29700d5	PR#6	2026-02-25T20:08:45Z	skipped	skipped	branch_missing
ai-cost-tracker	dependabot/github_actions/github/codeql-action-4	PR#4	2026-02-25T20:14:57Z	skipped	skipped	branch_missing
ai-cost-tracker	dependabot/github_actions/actions/checkout-6	PR#3	2026-02-25T20:14:43Z	skipped	skipped	branch_missing
ai-cost-tracker	claude/notification-db-migrations-JDEyn	PR#16	2026-02-25T23:22:51Z	created	deleted	ok
ai-powertools	copilot/add-model-discovery-scripts	PR#4	2026-02-21T19:24:38Z	skipped	skipped	branch_missing
ai-powertools	codex/add-local-llm-request-wrapper-module	PR#2	2026-02-21T02:18:03Z	skipped	skipped	branch_missing
control-tower	codex/conduct-overnight-review-of-workflows	PR#16	2026-02-24T17:36:49Z	skipped	skipped	branch_missing
control-tower	fix-bug-6-concurrency	PR#40	2026-02-25T13:39:54Z	skipped	skipped	branch_missing
control-tower	phase-2.5-bug-fixes	PR#21	2026-02-25T13:30:19Z	skipped	skipped	branch_missing
control-tower	codex/perform-deep-review-of-control-tower-repository	PR#17	2026-02-24T17:44:01Z	skipped	skipped	branch_missing
control-tower	docs-phase-2-5-handoff	PR#41	2026-02-25T13:42:45Z	skipped	skipped	branch_missing
kynee	dependabot/github_actions/actions/checkout-6	PR#1	2026-02-24T23:27:39Z	skipped	skipped	branch_missing
kynee	dependabot/github_actions/github/codeql-action-4	PR#3	2026-02-24T23:28:18Z	skipped	skipped	branch_missing
kynee	dependabot/github_actions/actions/upload-artifact-6	PR#2	2026-02-24T23:27:55Z	skipped	skipped	branch_missing
kynee	codex/review-project-and-provide-recommendations	PR#4	2026-02-24T23:26:13Z	created	deleted	ok
zebadee2kk	codex/improve-repository-links-and-best-practices	PR#1	2026-02-21T02:28:56Z	skipped	skipped	branch_missing
ai-cost-tracker	codex/review-pr-#17-and-document-results	PR#19	2026-02-27T01:08:50Z	created	deleted	postpass_encoded_ref
ai-cost-tracker	codex/verify-pr-#20-for-issue-remediation	PR#21	2026-02-27T22:47:45Z	created	deleted	postpass_encoded_ref
